date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:55:13	12250/12250	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2005:55:13%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Main_Page.html	(from )
23:55:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:14%20GMT	https://salmon-raccoon-848126.hostingersite.com/robots.txt		(from )
23:55:14	1733/1733	---M-Z	200	added ('OK')	text/css	etag:%229fb942dcd79d2da15a105b5ba508a203%22	https://salmon-raccoon-848126.hostingersite.com/skins/common/shared.css?116	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/skins/common/sharedc451.css	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:15	27330/27330	---MCZ	200	added ('OK')	text/css	etag:%2282c1091aa20150947c6186cddd1e118a%22	https://salmon-raccoon-848126.hostingersite.com/skins/monobook/main.css?116	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/skins/monobook/mainc451.css	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:15	5289/5289	---M-Z	200	added ('OK')	text/css	etag:%22bdf4e33a5beaac00e355959b4aeb0067%22	https://salmon-raccoon-848126.hostingersite.com/skins/common/commonPrint.css?116	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/skins/common/commonPrintc451.css	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:16	40625/40625	---M-Z	200	added ('OK')	application/x-javascript	etag:%222e79c502e7e43da21d99c59239b383e6%22	https://salmon-raccoon-848126.hostingersite.com/skins/common/wikibits.js?116	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/skins/common/wikibitsc451.js	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:16	4555/4555	---M-Z	200	added ('OK')	application/x-javascript	etag:%225f9269099f750d45fa9049e87b56ad5e%22	https://salmon-raccoon-848126.hostingersite.com/skins/common/ajax.js?116	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/skins/common/ajaxc451.js	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:17	9909/9909	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2005:55:17%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Contribution	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Contribution.html	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:17%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Inspiration	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Inspiration	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:17%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Inspiration	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Inspiration	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:18%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Accomodation	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Accomodation	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:18%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Food	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Food	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:19%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Health	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Health	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:19%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Mobility	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Mobility	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:20%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Communication	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Communication	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:20%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Education	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Education	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:21%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Computer/internet	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Computer/internet	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:21%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Sharing	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Sharing	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:21	45735/45735	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2005:55:22%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Pleasure	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Pleasure.html	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:22%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Various	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Various	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:22	1794/1794	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Nov%202024%2005:55:23%20GMT	https://salmon-raccoon-848126.hostingersite.com/wikifiles/nabilsbirdssmall.jpg	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/wikifiles/nabilsbirdssmall.jpg	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:23	8998/8998	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2005:55:23%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Freekipedia	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Freekipedia.html	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:23	11047/11047	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2005:55:23%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Help	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Help.html	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:24	12110/12110	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2005:55:24%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Special:Recentchanges	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Special_Recentchanges.html	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:24%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Special:Random	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Special_Random	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:25%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Special:Whatlinkshere/Main_Page	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Special_Whatlinkshere/Main_Page	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Nov%202024%2005:55:25%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Special:Recentchangeslinked/Main_Page	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Special_Recentchangeslinked/Main_Page	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:25	13284/13284	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2005:55:26%20GMT	https://salmon-raccoon-848126.hostingersite.com/index.php/Special:Specialpages	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/index.php/Special_Specialpages.html	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
23:55:26	1888/1888	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Nov%202024%2005:55:26%20GMT	https://salmon-raccoon-848126.hostingersite.com/skins/common/images/poweredby_mediawiki_88x31.png	C:/Users/Owner/wget/freekipedia/salmon-raccoon-848126.hostingersite.com/skins/common/images/poweredby_mediawiki_88x31.png	(from https://salmon-raccoon-848126.hostingersite.com/index.php/Main_Page)
